Robi,Robi,Noor,N\A,0,24,0.7
Robi,Robi,mega-fnf,N\A,16,24,1.1
Robi,Robi,mega-fnf,A,0,16,0.8
Robi,Others,mega-fnf,A,0,24,1.1
Robi,Robi,hoot-hut-chomok-32,N\A,0,24,1.1
Robi,Others,hoot-hut-chomok-32,N\A,0,24,2.1
Robi,Robi,hoot-hut-chomok-32,A,0,24,1.3
Robi,Others,robi-club-34,N\A,0,24,2.3
Robi,Robi,robi-club-34,N\A,16,24,1.2
Robi,Robi,robi-club-34,N\A,0,16,2.3
Robi,Robi,goti-36,N\A,0,24,2.1
Robi,Others,goti-36,N\A,0,24,2.1
Robi,Others,nobanno-37,N\A,0,24,2.1
Robi,Robi,nobanno-37,N\A,22,8,8.0
Robi,Robi,nobanno-37,N\A,8,22,2.1
Robi,Robi,shorol-39,N\A,0,24,2.2
Robi,Others,shorol-39,N\A,0,24,22.0
